chunk_size,H,R,time_s,retransmissions,efficiency
256,0.01,0.35,65.103,64,0.9269
256,0.03,0.3,80.039,128,0.8637
256,0.05,0.2,78.682,120,0.8711
256,0.08,0.18,78.851,120,0.8711
256,0.12,0.15,76.686,112,0.8787
512,0.01,0.35,49.770,104,0.7961
512,0.03,0.3,47.900,96,0.8088
512,0.05,0.2,51.540,112,0.7838
512,0.08,0.18,61.500,148,0.7329
512,0.12,0.15,59.182,144,0.7382
1024,0.01,0.35,49.620,128,0.6133
1024,0.03,0.3,47.254,119,0.6304
1024,0.05,0.2,44.462,108,0.6527
1024,0.08,0.18,47.762,124,0.6208
1024,0.12,0.15,52.474,140,0.5918
2048,0.01,0.35,29.097,73,0.5829
2048,0.03,0.3,42.831,126,0.4474
2048,0.05,0.2,45.334,136,0.4286
2048,0.08,0.18,42.093,119,0.4615
2048,0.12,0.15,45.860,136,0.4286
4096,0.01,0.35,35.813,100,0.3377
4096,0.03,0.3,55.205,164,0.2372
4096,0.05,0.2,49.997,148,0.2563
4096,0.08,0.18,57.444,164,0.2372
4096,0.12,0.15,76.770,228,0.1828
