chunk_size,H,R,time_s,retransmissions,efficiency
256,0.01,0.35,71.643,88,0.9021
256,0.03,0.3,72.786,96,0.8942
256,0.05,0.2,81.948,136,0.8564
256,0.08,0.18,77.647,116,0.8749
256,0.12,0.15,81.516,132,0.8600
512,0.01,0.35,49.247,100,0.8024
512,0.03,0.3,52.967,116,0.7778
512,0.05,0.2,44.352,80,0.8354
512,0.08,0.18,46.114,86,0.8252
512,0.12,0.15,60.302,148,0.7329
1024,0.01,0.35,40.542,100,0.6700
1024,0.03,0.3,48.224,124,0.6208
1024,0.05,0.2,52.512,144,0.5850
1024,0.08,0.18,55.242,152,0.5718
1024,0.12,0.15,36.638,78,0.7224
2048,0.01,0.35,32.595,92,0.5258
2048,0.03,0.3,38.591,112,0.4766
2048,0.05,0.2,35.144,99,0.5075
2048,0.08,0.18,45.289,138,0.4250
2048,0.12,0.15,53.120,168,0.3778
4096,0.01,0.35,38.310,108,0.3208
4096,0.03,0.3,43.781,124,0.2914
4096,0.05,0.2,44.866,130,0.2818
4096,0.08,0.18,67.494,198,0.2048
4096,0.12,0.15,63.287,186,0.2152
