chunk_size,H,R,time_s,retransmissions,efficiency
256,0.01,0.35,72.826,96,0.8942
256,0.03,0.3,71.240,88,0.9021
256,0.05,0.2,75.465,108,0.8825
256,0.08,0.18,73.516,96,0.8942
256,0.12,0.15,90.248,168,0.8284
512,0.01,0.35,46.520,88,0.8219
512,0.03,0.3,47.253,92,0.8153
512,0.05,0.2,67.089,170,0.7049
512,0.08,0.18,49.367,100,0.8024
512,0.12,0.15,68.845,176,0.6976
1024,0.01,0.35,37.934,88,0.6976
1024,0.03,0.3,43.116,108,0.6527
1024,0.05,0.2,55.444,156,0.5655
1024,0.08,0.18,37.637,81,0.7148
1024,0.12,0.15,61.138,172,0.5413
2048,0.01,0.35,33.313,96,0.5152
2048,0.03,0.3,38.210,109,0.4834
2048,0.05,0.2,34.405,96,0.5152
2048,0.08,0.18,52.845,163,0.3849
2048,0.12,0.15,48.015,146,0.4113
4096,0.01,0.35,48.427,144,0.2615
4096,0.03,0.3,45.098,128,0.2849
4096,0.05,0.2,55.053,153,0.2500
4096,0.08,0.18,53.857,157,0.2452
4096,0.12,0.15,74.114,216,0.1910
