chunk_size,H,R,time_s,retransmissions,efficiency
256,0.01,0.35,69.518,84,0.9061
256,0.03,0.3,76.263,112,0.8787
256,0.05,0.2,84.282,148,0.8457
256,0.08,0.18,79.644,122,0.8692
256,0.12,0.15,83.905,142,0.8510
512,0.01,0.35,47.212,92,0.8153
512,0.03,0.3,44.390,80,0.8354
512,0.05,0.2,51.415,112,0.7838
512,0.08,0.18,54.028,120,0.7719
512,0.12,0.15,55.999,128,0.7603
1024,0.01,0.35,44.122,112,0.6444
1024,0.03,0.3,35.554,76,0.7276
1024,0.05,0.2,42.251,96,0.6789
1024,0.08,0.18,42.393,104,0.6612
1024,0.12,0.15,45.664,113,0.6424
2048,0.01,0.35,44.784,132,0.4359
2048,0.03,0.3,34.543,95,0.5178
2048,0.05,0.2,45.116,132,0.4359
2048,0.08,0.18,35.548,104,0.4951
2048,0.12,0.15,65.235,202,0.3355
4096,0.01,0.35,45.041,132,0.2787
4096,0.03,0.3,44.008,122,0.2948
4096,0.05,0.2,42.604,124,0.2914
4096,0.08,0.18,54.065,157,0.2452
4096,0.12,0.15,59.644,174,0.2267
