chunk_size,H,R,time_s,retransmissions,efficiency
256,0.01,0.35,69.179,80,0.9102
256,0.03,0.3,70.988,88,0.9021
256,0.05,0.2,76.662,112,0.8787
256,0.08,0.18,82.010,136,0.8564
256,0.12,0.15,90.960,172,0.8250
512,0.01,0.35,47.772,96,0.8088
512,0.03,0.3,52.029,116,0.7778
512,0.05,0.2,55.564,128,0.7603
512,0.08,0.18,49.400,100,0.8024
512,0.12,0.15,56.423,128,0.7603
1024,0.01,0.35,35.527,84,0.7073
1024,0.03,0.3,47.590,124,0.6208
1024,0.05,0.2,40.395,96,0.6789
1024,0.08,0.18,45.105,116,0.6364
1024,0.12,0.15,51.688,136,0.5988
2048,0.01,0.35,35.294,104,0.4951
2048,0.03,0.3,51.826,163,0.3849
2048,0.05,0.2,33.280,90,0.5312
2048,0.08,0.18,50.041,155,0.3969
2048,0.12,0.15,38.888,116,0.4679
4096,0.01,0.35,27.320,80,0.3893
4096,0.03,0.3,43.061,126,0.2881
4096,0.05,0.2,45.619,134,0.2757
4096,0.08,0.18,44.664,126,0.2881
4096,0.12,0.15,54.699,160,0.2417
