chunk_size,H,R,time_s,retransmissions,efficiency
256,0.01,0.35,66.179,68,0.9226
256,0.03,0.3,74.127,100,0.8902
256,0.05,0.2,83.393,140,0.8528
256,0.08,0.18,83.315,140,0.8528
256,0.12,0.15,86.316,152,0.8422
512,0.01,0.35,49.898,102,0.7992
512,0.03,0.3,44.203,80,0.8354
512,0.05,0.2,43.321,76,0.8423
512,0.08,0.18,53.281,116,0.7778
512,0.12,0.15,61.702,152,0.7276
1024,0.01,0.35,49.109,136,0.5988
1024,0.03,0.3,52.366,141,0.5901
1024,0.05,0.2,48.545,128,0.6133
1024,0.08,0.18,47.373,124,0.6208
1024,0.12,0.15,54.867,148,0.5783
2048,0.01,0.35,32.183,88,0.5368
2048,0.03,0.3,45.131,132,0.4359
2048,0.05,0.2,36.476,104,0.4951
2048,0.08,0.18,33.352,94,0.5204
2048,0.12,0.15,48.717,152,0.4016
4096,0.01,0.35,35.688,100,0.3377
4096,0.03,0.3,50.867,149,0.2550
4096,0.05,0.2,48.715,142,0.2642
4096,0.08,0.18,58.735,176,0.2247
4096,0.12,0.15,51.493,150,0.2537
