chunk_size,H,R,time_s,retransmissions,efficiency
256,0.01,0.35,62.631,48,0.9441
256,0.03,0.3,78.997,120,0.8711
256,0.05,0.2,75.828,108,0.8825
256,0.08,0.18,90.984,168,0.8284
256,0.12,0.15,85.336,148,0.8457
512,0.01,0.35,43.015,72,0.8494
512,0.03,0.3,46.409,88,0.8219
512,0.05,0.2,45.404,84,0.8286
512,0.08,0.18,57.981,136,0.7491
512,0.12,0.15,58.192,136,0.7491
1024,0.01,0.35,37.586,85,0.7049
1024,0.03,0.3,38.335,88,0.6976
1024,0.05,0.2,39.947,96,0.6789
1024,0.08,0.18,64.733,183,0.5259
1024,0.12,0.15,51.791,140,0.5918
2048,0.01,0.35,33.968,95,0.5178
2048,0.03,0.3,33.880,95,0.5178
2048,0.05,0.2,37.142,108,0.4857
2048,0.08,0.18,42.020,126,0.4474
2048,0.12,0.15,53.724,164,0.3835
4096,0.01,0.35,39.358,115,0.3072
4096,0.03,0.3,37.098,107,0.3228
4096,0.05,0.2,26.189,68,0.4286
4096,0.08,0.18,56.999,165,0.2361
4096,0.12,0.15,101.507,307,0.1425
