chunk_size,H,R,time_s,retransmissions,efficiency
256,0.01,0.35,73.695,100,0.8902
256,0.03,0.3,69.750,84,0.9061
256,0.05,0.2,83.505,140,0.8528
256,0.08,0.18,84.362,144,0.8492
256,0.12,0.15,83.071,140,0.8528
512,0.01,0.35,47.602,92,0.8153
512,0.03,0.3,50.071,104,0.7961
512,0.05,0.2,54.097,120,0.7719
512,0.08,0.18,48.448,96,0.8088
512,0.12,0.15,67.188,168,0.7073
1024,0.01,0.35,35.198,80,0.7173
1024,0.03,0.3,39.310,88,0.6976
1024,0.05,0.2,49.225,125,0.6189
1024,0.08,0.18,43.772,111,0.6465
1024,0.12,0.15,48.035,126,0.6170
2048,0.01,0.35,28.724,76,0.5730
2048,0.03,0.3,50.509,152,0.4016
2048,0.05,0.2,29.185,83,0.5514
2048,0.08,0.18,43.580,128,0.4435
2048,0.12,0.15,71.231,221,0.3158
4096,0.01,0.35,34.833,94,0.3517
4096,0.03,0.3,43.451,126,0.2881
4096,0.05,0.2,36.271,104,0.3290
4096,0.08,0.18,50.691,151,0.2525
4096,0.12,0.15,70.500,206,0.1984
