chunk_size,H,R,time_s,retransmissions,efficiency
256,0.01,0.35,72.061,90,0.9001
256,0.03,0.3,74.606,104,0.8863
256,0.05,0.2,78.667,120,0.8711
256,0.08,0.18,78.514,120,0.8711
256,0.12,0.15,92.972,180,0.8184
512,0.01,0.35,48.176,96,0.8088
512,0.03,0.3,60.772,144,0.7382
512,0.05,0.2,57.110,132,0.7546
512,0.08,0.18,55.387,128,0.7603
512,0.12,0.15,59.105,140,0.7436
1024,0.01,0.35,39.469,96,0.6789
1024,0.03,0.3,39.524,89,0.6952
1024,0.05,0.2,39.444,92,0.6881
1024,0.08,0.18,60.630,172,0.5413
1024,0.12,0.15,51.815,140,0.5918
2048,0.01,0.35,31.977,88,0.5368
2048,0.03,0.3,43.884,128,0.4435
2048,0.05,0.2,38.183,110,0.4811
2048,0.08,0.18,53.037,168,0.3778
2048,0.12,0.15,57.929,179,0.3630
4096,0.01,0.35,28.199,76,0.4016
4096,0.03,0.3,54.821,162,0.2394
4096,0.05,0.2,57.807,170,0.2308
4096,0.08,0.18,43.814,125,0.2898
4096,0.12,0.15,48.168,141,0.2656
